country,eprc_v1,eprc_v2,eprc_v3,epr_v1,epr_v3,epc,ept_v1,ept_v3,year,primerate,youthrate,oldrate,gdp
AUS,1.167,"","",1.167,"","",0.875,,1985,15.1535201053,5.9204093314,5.9204093314,260234
AUS,1.167,"","",1.167,"","",0.875,,1985,15.1535201053,15.1535201053,5.9204093314,260234
AUS,1.167,"","",1.167,"","",0.875,,1986,15.0456669815,5.8421297805,5.8421297805,285788
AUS,1.167,"","",1.167,"","",0.875,,1986,15.0456669815,15.0456669815,5.8421297805,285788
AUS,1.167,"","",1.167,"","",0.875,,1987,14.9326625092,5.9585200746,5.9585200746,324066
AUS,1.167,"","",1.167,"","",0.875,,1987,14.9326625092,14.9326625092,5.9585200746,324066
AUS,1.167,"","",1.167,"","",0.875,,1988,13.4141903365,5.2579385351,5.2579385351,367785
AUS,1.167,"","",1.167,"","",0.875,,1988,13.4141903365,13.4141903365,5.2579385351,367785
AUS,1.167,"","",1.167,"","",0.875,,1989,11.1548670131,4.5908694808,4.5908694808,404073
AUS,1.167,"","",1.167,"","",0.875,,1989,11.1548670131,11.1548670131,4.5908694808,404073
AUS,1.167,"","",1.167,"","",0.875,,1990,13.0197486207,5.0876578134,5.0876578134,414900
AUS,1.167,"","",1.167,"","",0.875,,1990,13.0197486207,13.0197486207,5.0876578134,414900
AUS,1.167,"","",1.167,"","",0.875,,1991,17.4870503581,7.3137502777,7.3137502777,423005
AUS,1.167,"","",1.167,"","",0.875,,1991,17.4870503581,17.4870503581,7.3137502777,423005
AUS,1.167,"","",1.167,"","",0.875,,1992,19.283529143,8.2774365409,8.2774365409,444079
AUS,1.167,"","",1.167,"","",0.875,,1992,19.283529143,19.283529143,8.2774365409,444079
AUS,1.167,"","",1.167,"","",0.875,,1993,18.5448459952,8.6189304672,8.6189304672,466715
AUS,1.167,"","",1.167,"","",0.875,,1993,18.5448459952,18.5448459952,8.6189304672,466715
AUS,1.167,"","",1.167,"","",0.875,,1994,16.8803626613,7.6334977031,7.6334977031,495653
AUS,1.167,"","",1.167,"","",0.875,,1994,16.8803626613,16.8803626613,7.6334977031,495653
AUS,1.167,"","",1.167,"","",0.875,,1995,15.2036852558,6.6327153123,6.6327153123,529058
AUS,1.167,"","",1.167,"","",0.875,,1995,15.2036852558,15.2036852558,6.6327153123,529058
AUS,1.167,"","",1.167,"","",0.875,,1996,15.6512454772,6.6127333682,6.6127333682,556656
AUS,1.167,"","",1.167,"","",0.875,,1996,15.6512454772,15.6512454772,6.6127333682,556656
AUS,1.417,"","",1.417,"","",0.875,,1997,15.8534053281,6.5621050037,6.5621050037,588725
