"COUNTRY","Country","SEX","Sex","AGE","Age","SERIES","Series","FREQ","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","MEN","Men","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2000","2000","PC","Percentage","0","units",,,62.5964049004888,,
"AUS","Australia","MEN","Men","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2001","2001","PC","Percentage","0","units",,,61.6922780160673,,
"AUS","Australia","MEN","Men","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2002","2002","PC","Percentage","0","units",,,61.7926687394987,,
"AUS","Australia","MEN","Men","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2003","2003","PC","Percentage","0","units",,,62.3985037682411,,
"AUS","Australia","MEN","Men","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2004","2004","PC","Percentage","0","units",,,62.7418804553986,,
"AUS","Australia","MEN","Men","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2005","2005","PC","Percentage","0","units",,,64.1746780318982,,
"AUS","Australia","MEN","Men","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2006","2006","PC","Percentage","0","units",,,64.4667262133131,,
"AUS","Australia","MEN","Men","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2007","2007","PC","Percentage","0","units",,,64.9861902955864,,
"AUS","Australia","MEN","Men","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2008","2008","PC","Percentage","0","units",,,65.4779951943843,,
"AUS","Australia","MEN","Men","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2009","2009","PC","Percentage","0","units",,,61.6201228884464,,
"AUS","Australia","MEN","Men","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2010","2010","PC","Percentage","0","units",,,61.2922387594089,,
"AUS","Australia","MEN","Men","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2011","2011","PC","Percentage","0","units",,,60.5747931545342,,
"AUS","Australia","MEN","Men","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2012","2012","PC","Percentage","0","units",,,59.7350297242396,,
"AUS","Australia","MEN","Men","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2013","2013","PC","Percentage","0","units",,,58.6090229616941,,
"AUS","Australia","MEN","Men","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2000","2000","PC","Percentage","0","units",,,71.8621300798586,,
"AUS","Australia","MEN","Men","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2001","2001","PC","Percentage","0","units",,,72.2339342315401,,
"AUS","Australia","MEN","Men","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2002","2002","PC","Percentage","0","units",,,71.6782835595223,,
"AUS","Australia","MEN","Men","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2003","2003","PC","Percentage","0","units",,,71.4005648457814,,
"AUS","Australia","MEN","Men","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2004","2004","PC","Percentage","0","units",,,71.1733366282694,,
"AUS","Australia","MEN","Men","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2005","2005","PC","Percentage","0","units",,,72.0137089180678,,
"AUS","Australia","MEN","Men","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2006","2006","PC","Percentage","0","units",,,72.0713770991295,,
