COUNTRY,Country,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
ARG,Argentina,2012,2012,IDX,Index,0,units,,,3.875,,
AUS,Australia,2002,2002,IDX,Index,0,units,,,2.875,,
AUS,Australia,2003,2003,IDX,Index,0,units,,,2.875,,
AUS,Australia,2004,2004,IDX,Index,0,units,,,2.875,,
AUS,Australia,2005,2005,IDX,Index,0,units,,,2.875,,
AUS,Australia,2006,2006,IDX,Index,0,units,,,2.875,,
AUS,Australia,2007,2007,IDX,Index,0,units,,,2.875,,
AUS,Australia,2008,2008,IDX,Index,0,units,,,2.875,,
AUS,Australia,2009,2009,IDX,Index,0,units,,,2.875,,
AUS,Australia,2010,2010,IDX,Index,0,units,,,2.875,,
AUS,Australia,2011,2011,IDX,Index,0,units,,,2.875,,
AUS,Australia,2012,2012,IDX,Index,0,units,,,2.875,,
AUS,Australia,2013,2013,IDX,Index,0,units,,,2.875,,
AUT,Austria,2002,2002,IDX,Index,0,units,,,3.25,,
AUT,Austria,2003,2003,IDX,Index,0,units,,,3.25,,
AUT,Austria,2004,2004,IDX,Index,0,units,,,3.25,,
AUT,Austria,2005,2005,IDX,Index,0,units,,,3.25,,
AUT,Austria,2006,2006,IDX,Index,0,units,,,3.25,,
AUT,Austria,2007,2007,IDX,Index,0,units,,,3.25,,
AUT,Austria,2008,2008,IDX,Index,0,units,,,3.25,,
AUT,Austria,2009,2009,IDX,Index,0,units,,,3.25,,
AUT,Austria,2010,2010,IDX,Index,0,units,,,3.25,,
AUT,Austria,2011,2011,IDX,Index,0,units,,,3.25,,
AUT,Austria,2012,2012,IDX,Index,0,units,,,3.25,,
AUT,Austria,2013,2013,IDX,Index,0,units,,,3.25,,
BEL,Belgium,2002,2002,IDX,Index,0,units,,,5.125,,
BEL,Belgium,2003,2003,IDX,Index,0,units,,,5.125,,
BEL,Belgium,2004,2004,IDX,Index,0,units,,,5.125,,
BEL,Belgium,2005,2005,IDX,Index,0,units,,,5.125,,
BEL,Belgium,2006,2006,IDX,Index,0,units,,,5.125,,
BEL,Belgium,2007,2007,IDX,Index,0,units,,,5.125,,
BEL,Belgium,2008,2008,IDX,Index,0,units,,,5.125,,
BEL,Belgium,2009,2009,IDX,Index,0,units,,,5.125,,
BEL,Belgium,2010,2010,IDX,Index,0,units,,,5.125,,
BEL,Belgium,2011,2011,IDX,Index,0,units,,,5.125,,
BEL,Belgium,2012,2012,IDX,Index,0,units,,,5.125,,
BEL,Belgium,2013,2013,IDX,Index,0,units,,,5.125,,
BRA,Brazil,2010,2010,IDX,Index,0,units,,,1.5,,
BRA,Brazil,2011,2011,IDX,Index,0,units,,,1.5,,
BRA,Brazil,2012,2012,IDX,Index,0,units,,,1.5,,
CAN,Canada,2002,2002,IDX,Index,0,units,,,2.96875,,
CAN,Canada,2003,2003,IDX,Index,0,units,,,2.96875,,
CAN,Canada,2004,2004,IDX,Index,0,units,,,2.96875,,
CAN,Canada,2005,2005,IDX,Index,0,units,,,2.96875,,
CAN,Canada,2006,2006,IDX,Index,0,units,,,2.96875,,
CAN,Canada,2007,2007,IDX,Index,0,units,,,2.96875,,
CAN,Canada,2008,2008,IDX,Index,0,units,,,2.96875,,
CAN,Canada,2009,2009,IDX,Index,0,units,,,2.96875,,
CAN,Canada,2010,2010,IDX,Index,0,units,,,2.96875,,
CAN,Canada,2011,2011,IDX,Index,0,units,,,2.96875,,
CAN,Canada,2012,2012,IDX,Index,0,units,,,2.96875,,
CAN,Canada,2013,2013,IDX,Index,0,units,,,2.96875,,
CHE,Switzerland,2002,2002,IDX,Index,0,units,,,3.625,,
CHE,Switzerland,2003,2003,IDX,Index,0,units,,,3.625,,
CHE,Switzerland,2004,2004,IDX,Index,0,units,,,3.625,,
CHE,Switzerland,2005,2005,IDX,Index,0,units,,,3.625,,
CHE,Switzerland,2006,2006,IDX,Index,0,units,,,3.625,,
CHE,Switzerland,2007,2007,IDX,Index,0,units,,,3.625,,
CHE,Switzerland,2008,2008,IDX,Index,0,units,,,3.625,,
CHE,Switzerland,2009,2009,IDX,Index,0,units,,,3.625,,
CHE,Switzerland,2010,2010,IDX,Index,0,units,,,3.625,,
CHE,Switzerland,2011,2011,IDX,Index,0,units,,,3.625,,
CHE,Switzerland,2012,2012,IDX,Index,0,units,,,3.625,,
CHE,Switzerland,2013,2013,IDX,Index,0,units,,,3.625,,
CHL,Chile,2008,2008,IDX,Index,0,units,,,0,,
CHL,Chile,2009,2009,IDX,Index,0,units,,,0,,
CHL,Chile,2010,2010,IDX,Index,0,units,,,0,,
CHL,Chile,2011,2011,IDX,Index,0,units,,,0,,
CHL,Chile,2012,2012,IDX,Index,0,units,,,0,,
CHL,Chile,2013,2013,IDX,Index,0,units,,,0,,
CHN,China,2008,2008,IDX,Index,0,units,,,3,,
CHN,China,2009,2009,IDX,Index,0,units,,,3,,
CHN,China,2010,2010,IDX,Index,0,units,,,3,,
CHN,China,2011,2011,IDX,Index,0,units,,,3,,
CHN,China,2012,2012,IDX,Index,0,units,,,3,,
CZE,Czech Republic,2002,2002,IDX,Index,0,units,,,2.125,,
CZE,Czech Republic,2003,2003,IDX,Index,0,units,,,2.125,,
CZE,Czech Republic,2004,2004,IDX,Index,0,units,,,2.125,,
CZE,Czech Republic,2005,2005,IDX,Index,0,units,,,2.125,,
CZE,Czech Republic,2006,2006,IDX,Index,0,units,,,2.125,,
CZE,Czech Republic,2007,2007,IDX,Index,0,units,,,2.125,,
CZE,Czech Republic,2008,2008,IDX,Index,0,units,,,2.125,,
CZE,Czech Republic,2009,2009,IDX,Index,0,units,,,2.125,,
CZE,Czech Republic,2010,2010,IDX,Index,0,units,,,2.125,,
CZE,Czech Republic,2011,2011,IDX,Index,0,units,,,2.125,,
CZE,Czech Republic,2012,2012,IDX,Index,0,units,,,2.125,,
CZE,Czech Republic,2013,2013,IDX,Index,0,units,,,2.125,,
DEU,Germany,2002,2002,IDX,Index,0,units,,,3.625,,
DEU,Germany,2003,2003,IDX,Index,0,units,,,3.625,,
DEU,Germany,2004,2004,IDX,Index,0,units,,,3.625,,
DEU,Germany,2005,2005,IDX,Index,0,units,,,3.625,,
DEU,Germany,2006,2006,IDX,Index,0,units,,,3.625,,
DEU,Germany,2007,2007,IDX,Index,0,units,,,3.625,,
DEU,Germany,2008,2008,IDX,Index,0,units,,,3.625,,
DEU,Germany,2009,2009,IDX,Index,0,units,,,3.625,,
DEU,Germany,2010,2010,IDX,Index,0,units,,,3.625,,
DEU,Germany,2011,2011,IDX,Index,0,units,,,3.625,,
DEU,Germany,2012,2012,IDX,Index,0,units,,,3.625,,
DEU,Germany,2013,2013,IDX,Index,0,units,,,3.625,,
DNK,Denmark,2002,2002,IDX,Index,0,units,,,3.625,,
DNK,Denmark,2003,2003,IDX,Index,0,units,,,3.625,,
DNK,Denmark,2004,2004,IDX,Index,0,units,,,3.625,,
DNK,Denmark,2005,2005,IDX,Index,0,units,,,3.625,,
DNK,Denmark,2006,2006,IDX,Index,0,units,,,2.875,,
DNK,Denmark,2007,2007,IDX,Index,0,units,,,2.875,,
DNK,Denmark,2008,2008,IDX,Index,0,units,,,2.875,,
DNK,Denmark,2009,2009,IDX,Index,0,units,,,2.875,,
DNK,Denmark,2010,2010,IDX,Index,0,units,,,2.875,,
DNK,Denmark,2011,2011,IDX,Index,0,units,,,2.875,,
DNK,Denmark,2012,2012,IDX,Index,0,units,,,2.875,,
DNK,Denmark,2013,2013,IDX,Index,0,units,,,2.875,,
ESP,Spain,2002,2002,IDX,Index,0,units,,,3.75,,
ESP,Spain,2003,2003,IDX,Index,0,units,,,3.75,,
ESP,Spain,2004,2004,IDX,Index,0,units,,,3.75,,
ESP,Spain,2005,2005,IDX,Index,0,units,,,3.75,,
ESP,Spain,2006,2006,IDX,Index,0,units,,,3.75,,
ESP,Spain,2007,2007,IDX,Index,0,units,,,3.75,,
ESP,Spain,2008,2008,IDX,Index,0,units,,,3.75,,
ESP,Spain,2009,2009,IDX,Index,0,units,,,3.75,,
ESP,Spain,2010,2010,IDX,Index,0,units,,,3.75,,
ESP,Spain,2011,2011,IDX,Index,0,units,,,3.75,,
ESP,Spain,2012,2012,IDX,Index,0,units,,,3.75,,
ESP,Spain,2013,2013,IDX,Index,0,units,,,3.125,,
EST,Estonia,2008,2008,IDX,Index,0,units,,,1.75,,
EST,Estonia,2009,2009,IDX,Index,0,units,,,1.75,,
EST,Estonia,2010,2010,IDX,Index,0,units,,,2.875,,
